context,generated,text
[40] In 1991,", only 0.4 percent of U.S. oil consumption came from oil produced outside the United","[40] In 1991, only 0.4 percent of U.S. oil consumption came from oil produced outside the United"
Israel's partnership with the United States,"against ISIS would fail if Israel fails to prevent Iran from gaining access to nuclear weapons,"" he said.","Israel's partnership with the United States against ISIS would fail if Israel fails to prevent Iran from gaining access to nuclear weapons,"" he said."
Figuring that pub-goers would be grateful for a record book,"or two, Mr Brown decided it would only make sense for him to sell them off instead. Instead","Figuring that pub-goers would be grateful for a record book or two, Mr Brown decided it would only make sense for him to sell them off instead. Instead"
"Bazar, Bryant later","admitted. However, none of those charges resulted in criminal charges. Instead, all of them resulted in","Bazar, Bryant later admitted. However, none of those charges resulted in criminal charges. Instead, all of them resulted in"
Here are two of,"those problems:

1) How do you avoid getting stuck on one side or the other?","Here are two of those problems:

1) How do you avoid getting stuck on one side or the other?"
The Thai people have an informal way of employing the,"term ""badass"" when referring to their military leaders; however, not all badasses go through","The Thai people have an informal way of employing the term ""badass"" when referring to their military leaders; however, not all badasses go through"
Evangelical Christians have stood with Jewish Israel when,"no one else would

No good should ever come to those who oppose Israel

What happened","Evangelical Christians have stood with Jewish Israel when no one else would

No good should ever come to those who oppose Israel

What happened"
Also pictured on the,"left is another example of one such case:

The problem with such cases (as shown above","Also pictured on the left is another example of one such case:

The problem with such cases (as shown above"
F16s are flying around 1000,"miles per hour over North Korea as part of the U.S.-South Korea joint military exercises,","F16s are flying around 1000 miles per hour over North Korea as part of the U.S.-South Korea joint military exercises,"
MARGARET ZHANG: One brand might,cause problems for another; No. 1 or No. 2? No. 3? No! No,MARGARET ZHANG: One brand might cause problems for another; No. 1 or No. 2? No. 3? No! No
Since the first computers were connected,over cable or cable modem (now called cable/satellite/cable modem/cordless,Since the first computers were connected over cable or cable modem (now called cable/satellite/cable modem/cordless
They've been making that,"mistake too many times.""

""The worst of it,"" I said, ""is when they","They've been making that mistake too many times.""

""The worst of it,"" I said, ""is when they"
Other projects have also attempted to establish,"similar policies but failed due in part to lack of funding.

In 2012 the U.S","Other projects have also attempted to establish similar policies but failed due in part to lack of funding.

In 2012 the U.S"
